,text
1508856522587230212,"Turkish aviation group Gözen Holding orders 50 VX4 #eVTOL aircraft from @avolon_aero,  with the option to buy/lease 50 more, as part of their order book with @VerticalAero: https://t.co/wQxtq9lc6g #gofly #uam #aam #urbanairmobility #advancedairmobility #airtaxis"
1508844030897045510,"Aircraft leasing company Avolon has announced that Gözen Holding has committed to purchase or lease up to 50 VX4 eVTOL aircraft from Avolon. The option to purchase or lease up to 50 additional aircraft.

Read more: https://t.co/Zgc6U8YW7o"
1508838047370014723,RT @FutureFlightAIN: Turkish aviation group Gozen Holding is to lease or purchase up to 50 of Vertical Aerospace’s VX4 eVTOL aircraft under…
1508833803854303245,Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/ifVVUPNLD8
1508826183902896128,"RT @webtekno: Gözen Holding, siparişini verdiği 100 adet Avolon Vx4 ile elektrikli hava taksi işine giriyor. https://t.co/gz8x0Sx4rs"
1508811993603522560,"5/10

“Irish aircraft leasing company Avolon said on Tuesday it had set up a partnership with Turkish aviation group Gozen Holding to pioneer eVTOL flying in Turkey using aircraft it plans to buy from Britain's Vertical Aerospace.”

https://t.co/CSPSq50vGE"
1508811209478479888,"Gözen Holding  Orders 100 VX4 Aircraft to Bring Zero-Emission Air Travel to Turkey

100 Adet VX4 Uçağı Siparişi veren Gözen Holding Sıfır Emisyonlu Hava Yolcuğunu Türkiye’ye Getiriyor
#gozenholding #verticalaerospace
#avolonaero
#istanbulairshow https://t.co/rOo9H9uUa7"
1508809837186097156,Turkish aviation group Gozen Holding is to lease or purchase up to 50 of Vertical Aerospace’s VX4 eVTOL aircraft under an agreement with leasing group Avolon. https://t.co/p5prEnNsrf
1508804718990172167,RT @tolgaozbek_com: Gözen Holding elektrikli hava taksi işine giriyor. 100 adet Avolon Vx4 siparişi verdi:
1508781689438416902,https://t.co/nHib2v85FC #sUAS &gt; Avolon and Gözen Holding form a partnership to commercialise zero-emissions eVTOL travel in Turkey https://t.co/nJV8e02Fhm #DroneActor #Drones #DroneBusiness
1508774902815461381,Avolon and Gözen Holding type a partnership to commercialise zero-emissions eVTOL journey in Turkey https://t.co/3iHu24Zf9E
1508772672628563971,Gözen Holding Orders 10 VX4 Aircraft from Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/pYvYpZNVxt @avolon_aero #Avolon #eVTOL #VX4 #GozenHolding #AirlineNews https://t.co/1KNv7N01Qe
1508770794096185353,Avolon and Gözen Holding form a partnership to commercialise zero-emissions eVTOL travel in Turkey | sUAS News https://t.co/cyORlEWxpC
1508770317581406214,RT @DailySabah: Irish aircraft leasing company Avolon sets up partnership with Turkish aviation group Gözen Holding to provide up to 100 el…
1508768474784542725,"Irish aircraft leasing company Avolon sets up partnership with Turkish aviation group Gözen Holding to provide up to 100 electric VTOL aircraft, bringing zero emissions air travel to Turkey
https://t.co/3GvaYZNQWj"
1508768449316544513,Avolon and Gözen Holding form a partnership to commercialise zero-emissions eVTOL travel in Turkey https://t.co/sxK7GIWvIJ
1508767305651654664,Avolon and Gözen Holding form a partnership to commercialise zero-emissions eVTOL travel in Turkey https://t.co/1BQt6TjCZi
1508765429489090570,Gözen Holding 100 elektrikli uçak için anlaşma imzaladı... https://t.co/8s93yL7gD6 --- #sondakika #haber #sondakikahaber #haberler
1508764604649943044,"""Gözen Holding Orders 100 VX4 Aircraft From Avolon To Bring Zero Emissions Air Travel To Turkey"" https://t.co/QtaKIU1oJS"
1508762797261348865,Gözen Holding Orders 10 VX4 Aircraft from Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/AdvNVSfHHJ @avolon_aero #Avolon #gozenholding #Vertical #eVTOL #VX4 https://t.co/xTOW8sZkAB
1508761196945629189,RT @uyducusirin: Sayın @dy19_wolf dikkatimi çekti. Gözen Holding 100 adet eVTOL siparişi vermiş. SHGM'nin bunlarla ilgili bir düzenlemesi o…
1508756356026748929,"Sayın @dy19_wolf dikkatimi çekti. Gözen Holding 100 adet eVTOL siparişi vermiş. SHGM'nin bunlarla ilgili bir düzenlemesi olup olmadığını bilen var mı? Uçak ya da heli gibi işletilecekse pratik olacağından emin değilim. ""Uçan araba"" olacaksa bunlar için kural olduğunu sanmıyorum. https://t.co/w4vZuUDkzi"
1508753987457138692,"Gözen Holding, Avolon ile sözleşme imzaladı https://t.co/957X2AmNpe"
1508750486651998216,RT @ReutersAero: Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/k9IQXnEL0c
1508750237179039748,Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/k9IQXnEL0c
1508743778470969352,Gözen Holding orders 100 VX4 aircraft from Avolon - https://t.co/lKnJZLU40K - Avolon announces that Gözen Holding has committed to purchase or lease up to 50 VX4 eVTOL aircraft from Avolon https://t.co/Z5ma3TlaqV
1508743355034918915,"RT @tolgaozbek_com: Gözen Holding’ten 100 adet Avolon ‘elektrikli uçak’ siparişi
https://t.co/R3R6jO1Uuq @MekinGozen @eVTOLaircraft https:/…"
1508742617114329092,"Gözen Holding’ten 100 adet Avolon ‘elektrikli uçak’ siparişi
https://t.co/R3R6jO1Uuq @MekinGozen @eVTOLaircraft https://t.co/Pd6AGpHcEU"
1508739501417398274,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/W7T4goOrsp #StockMarket #Stocks
1508738212805677056,Turkish delight as Irish aerospace player Avolon signs deal to sell 50 small electric aircraft – with the option to sell or lease 50 more – to Turkish airline conglomerate Gözen Holding #ElectricVehicles #aviation #irish #business .@avolon_aero https://t.co/mIhE7qgXEr https://t.co/4naUgG5YL0
1508737487140798464,Avolon signs air taxi deal with Turkish conglomerate Gozen Holding (via @IrishTimes) https://t.co/WszTbzcqMJ
1508736229063331842,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/M5RDKJwJSn #StocksMarket #PressRelease
1508729501173309440,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/Fi2q9Yl0co
1508724376006451209,"Gözen Holding, siparişini verdiği 100 adet Avolon Vx4 ile elektrikli hava taksi işine giriyor. https://t.co/7MJmT02hLl"
1508723771808665600,Gözen Holding’ten 100 tane hava taksi siparişi https://t.co/3PSlikOOXf
1508721256845266950,"Gözen Holding, siparişini verdiği 100 adet Avolon Vx4 ile elektrikli hava taksi işine giriyor. https://t.co/gz8x0Sx4rs"
1508718506312884227,Gözen Holding elektrikli hava taksi işine giriyor. 100 adet Avolon Vx4 siparişi verdi: https://t.co/EubfKH9ybo
1508714578561146886,"Breaking headline: 'Avolon signs air taxi deal with Turkish conglomerate Gozen Holding', https://t.co/dhoIGPF5Sz"
1508712447095496704,"İstanbul merkezli Gözen Holding ile yapılan anlaşma, 50 adede kadar Vertical'ın VX4 modeli hava aracının satışını veya kiralamasını kapsıyor ve 50 adede kadar daha opsiyon tanıyor."
1508712272171917318,Gozen Holding Orders 100 Vx4 Aircraft to Bring Zero Emissions Air Travel to Turkey https://t.co/480uZ1vjey #ASDNews #defense #aerospace https://t.co/YQ49CKATfd
1508707931046305796,RT @IrishTimesBiz: Avolon signs air taxi deal with Turkish conglomerate Gozen Holding https://t.co/O8jstLPRcf via @IrishTimesBiz
1508707794714726405,Avolon signs air taxi deal with Turkish conglomerate Gozen Holding https://t.co/O8jstLPRcf via @IrishTimesBiz
1508703873162174465,Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/XgatNYsgpy
1508703265453588480,Andy Vermaut shares:Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/7WeJq5mAmn Thank you. https://t.co/0sCNNZUoPs
1508702781607055361,Lessor Avolon in eVTOL aircraft deal with Turkey's Gozen Holding https://t.co/ALHqooHSGV https://t.co/YpZ48SPyxi
1508697472155238403,"We are delighted to announce that Gözen Holding has ordered 100 VX4 #eVTOL aircraft from us. We have now placed our entire 500 VX4 #eVTOL aircraft orderbook from @VerticalAero, which is now oversubscribed by 50 options. Read more about the order here: https://t.co/hIFFQWtbTc https://t.co/aMrrvdnvIX"
1508697440098136066,Lessor Avolon in eVTOL aircraft deal with Turkey&amp;#8217;s Gozen Holding https://t.co/xXn1rTN8JF via FXEmpire #forex #fx
1508694091948769283,$EVTL Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/QcBgxVqgzq
1508691487109746688,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/bhp3oYbqEf
1508691476930174976,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/tfmBLjcfih
1508686558672539648,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/t70S3iPfdS https://t.co/jD5LzIAcrX
1508686041489760256,Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey $EVTL $IX https://t.co/IFcqA0t7AP
1508685813046984704,"$EVTL [15s. delayed]: Issued Press Release on March 29, 02:00:00: Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey https://t.co/9gVXWTz8CR"
1508685667680804868,"$EVTL $IX Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey
https://t.co/8H5rmg88rt"
1508685602132168708,"$IX $EVTL 📰 Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey

https://t.co/v7rlihCAT6

45 seconds delayed."
1508685481092988931,"$EVTL $IX Gözen Holding Orders 100 Vx4 Aircraft From Avolon to Bring Zero Emissions Air Travel to Turkey
https://t.co/xVuLcYu3zQ"
1473653407013556228,"Çin Halk Cumhuriyeti Küçük ve Orta Ölçekli işletmeler Odası Bir Kuşak Bir Yol Çalışma Komitesi Başkan Yardımcısı Wang Peng, Doğu Avrupa Danışmanı Vitali Samsonov, Gözen Holding Avrupa Müdürü Kerem Özçevik ve Türkiye Danışmanı Av. Koray Akkuş’u belediyemizde ağırladık. https://t.co/Cwog7dW0Jx"
1410547908668231680,Gözen Holding - Kıdemli Bilgi Güvenliği Uzmanı - ISACA Istanbul https://t.co/mknf26O9Ar
1382666718523314191,"Gözen Holding, İnsan Kaynakları Süreçlerinde BilişimHR’ı Tercih Etti!

https://t.co/ODdBG4YuwP

#BilişimHR #GözenHolding #İnsanKaynaklarıYazılımı https://t.co/64fS4fWeaZ"
1300699231930462208,.Net Developer - GOZEN HOLDING [İstanbul(Avr.) - 01.09.2020] https://t.co/SiZKAOe7vW
1228944878312267781,"Gözen Holding’ten 
Sayın Cem Bozyiğit’in düzeltmesi
Günaydın, 
Tuncay Doğaner, Freebird’den Atlas’a Ersoylar ve Öger’in ortaklığı döneminde ekibiyle geçiş yapmıştı. 
Yanlış hatırladığınız için ufak bir hatırlatma yapayım dedim. İyi pazarlar."
1225853361465036801,"RT @pycontr: We are delighted to welcome Gözen Holding as one of our silver sponsors! 🎉 Thank you for your support! 🙏
Check out their websi…"
1225769395072458752,"We are delighted to welcome Gözen Holding as one of our silver sponsors! 🎉 Thank you for your support! 🙏
Check out their website 👉 https://t.co/ipBhVWZaQ4

#pycontr2020 #pycon #python🐍 https://t.co/fRrI6DUPcb"
1182189499721375744,"Ahmet Karaman (THY Teknik A.Ş https://t.co/nGUhzCY8qi.) Şahabettin Bolukçu(OnurAir https://t.co/nGUhzCY8qi.)
Cengiz Arbaç (IFTC https://t.co/nGUhzCY8qi.) Oğuzhan Demiral (IFTC https://t.co/nGUhzCY8qi.Yrd.) İzzet Tükenmez(Gözen Holding üst Yön.) Cemalettin Çelebi (Sky Angel-CEO) https://t.co/06EB8xOxOT"
1182188685934104578,"Kısa adı TÖSHİD olan Türkiye Özel Sektör Havacılık İşletmeleri Derneği’nin 30. Kuruluş yıldönümü gecesine (Soldan) Selim Tükenmez (Free Bird https://t.co/nGUhzCY8qi.) Cahit Saraylı (THY ve Air Alfa Eski yöneticisi), Dr.Cem Bozyiğit ( Gözen Holding üst yönetici) https://t.co/uqBoYurNNw"
1169887578121654273,Genel Muhasebe Personeli - GOZEN HOLDING [İstanbul(Avr.) - 06.09.2019] https://t.co/fRegtzgySq
1119244393842495488,"Ayt Havalimanı-Güvenlik Görevlisi: GOZEN GUVENLIK HIZMETLERI - Antalya - Gözen Holding şirketlerinden biri olan Gözen Security Services şirketimiz, Bina Tesis güvenliği ve Uçak Özel Güvenlik alanlarında 19 yılı aşkın süredir hizmet vermektedir. Türkiye… https://t.co/61XZwWBAd4"
1085901770268782592,"Gözen Holding Kurumsal İletişim Stajyeri Arıyor
Başvurmak isteyen adaylar hr@gozenholding.com adresine özgeçmişlerini gönderebilirler.
Tel: 0212 662 10 50 https://t.co/5TxGcHXOB6"
1046388470221082624,"Boğaziçi Üniversitesi ve Gözen Holding iş birliğinde DREAMBiGG, girişimcilerine teknik danışmanlık ve mentorluk desteği sunuyor. #TÜBİTAK #BiGG https://t.co/cpJXq5z5IE"
992794727996182535,"35 yıllık kurumsal tecrübesini girişimcilik ekosistemine yönlendiren Gözen Holding, Startup Carnival’a sponsor oldu. Teşekkürler! #letscarnival https://t.co/fXMSMJDrkN"
992343074184552448,"Startup Carnival, İş Bankası, Arıkovanı, Bundle, Ideasoft, Insider, Gözen Holding ve RedBull sponsorluğunda 6 Mayıs'ta Boğaziçi Üniversitesi Güney Kampüs'te gerçekleşecek. https://t.co/9oxIbQgUTa"
973909433804886021,"Gözen Holding kurucusu Mekin Gözen' in doğum günündeyiz 🎂
Nice mutlu seneler dileriz.

0532 335 55 94
https://t.co/yh4r8ZP2ny
#eğlence #wedding #gelin #balkanbandosu #düğünbandosu #damat #düğün #bandoekibi #orkestra #sünnetdüğünü #kurumsal #etkinlik #şirketetkinliği #doğumgünü https://t.co/e8iHgE06hK"
973586379769896960,RT @thkantalya: Gözen Holding bünyesinde bulunan IFTC görevlileri tarafından uçuş bilgileri ve uçuş kuralları hakkında brifing verildi http…
973249869103226885,Gözen Holding bünyesinde bulunan IFTC görevlileri tarafından uçuş bilgileri ve uçuş kuralları hakkında brifing verildi https://t.co/7JBWShG4YT
967400725000093701,Ak Sigorta ve Gözen Holding’ten toplam 50 kişiyi pistimizde misafir ettik. #intercityakademi #güvenlisürüş #yolgüvenliği https://t.co/7zYXEVorij
966708738714427393,Bugünkü misafirimiz Gözen Holding çalışanlarıydı. #intercityakademi #güvenlisürüş #yolgüvenliği https://t.co/eQaMHtX7t0
964510766442340353,"Bugün akademide Gözen Holding, Wilo ve İris firmalarıyla beraberdik. Öğle yemeğimiz de her zamanki gibi mükemmeldi. #intercityakademi #yolgüvenliği #güvenlisürüş https://t.co/Q8nD51XE3E"
951172702613762051,Gözen Holding Uçaklar İçin Güvenlikçi Arıyor! https://t.co/HF0usqMlgy
951172531083468800,Gözen Holding Uçaklar İçin Güvenlikçi Arıyor! https://t.co/c3EczB7ztX https://t.co/8a2lwc15Nx
946035160524513280,"Newyearparty (@ Gözen Holding in Bakırköy, Istanbul) https://t.co/pSYTpMnGML"
918102782309224453,PHP Developer - Gözen Holding [İstanbul(Avr.) - 11.10.2017] https://t.co/DDFCdRfeDC
918099094693908480,.Net Developer - Gözen Holding [İstanbul(Avr.) - 11.10.2017] https://t.co/hA9SZVgFJR
917404047660978176,Bordro ve Özlük İşler Sorumlusu - Gözen Holding [İstanbul(Avr.) - 09.10.2017] https://t.co/sqUlfwB1J2
913312864278106112,Tehir Rüştü Akman Başsağlığı İlanı - Gözen Holding https://t.co/iVgGzceUgp
901072798340329472,Santral Operatörü - Gözen Holding [İstanbul(Avr.) - 25.08.2017] https://t.co/WIM3uNS3DF
893025912576462848,"Bazen hayat seçim şansı vermez... (@ Gözen Holding in Bakırköy, Istanbul) https://t.co/ExHnMOF1lS"
889844190120738816,RT @slothaber: Gözen Holding’ten Önemli Duyuru! https://t.co/9G7Ae1p5eZ https://t.co/PrhGDyyYgk
889841126785638400,Gözen Holding’ten Önemli Duyuru! https://t.co/y8RNhs3gFH
889840945386180608,Gözen Holding’ten Önemli Duyuru! https://t.co/9G7Ae1p5eZ https://t.co/PrhGDyyYgk
889836490943082496,"Gözen Holding taşınıyor - Türk sivil havacılığının köklü kuruluşlarından olan Gözen Golding, kuruluşundan bu ya... https://t.co/5iLdYA3TMV"
889826939724341248,Gözen Holding taşınıyor https://t.co/D1FuF9JGeM
889824905348468736,"Gözen Holding yeni yerinde
https://t.co/vRWgV559Ta https://t.co/tJLWbjDORg"
881845211634294784,Bugünkü misafir firmamız Gözen Holding ile Güvenli Sürüş Eğitimindeydik. #intercityakademi #güvenlisürüş #yolgüvenliği https://t.co/pNJQjTE8aU
863620652669870080,K9 EĞİTİM MERKEZi YÖNETİCİSİ - Gozen Security Services - Türkiye: Gözen Holding iştiraklerinde görev yapmak üzere;… https://t.co/UIXxnEmaBZ
859746304494383104,I'm at Gözen Holding A.S. in Istanbul https://t.co/zQoIePZ0zn
856783959023374336,Otel Rezervasyon ve Satış Personeli - Gözen Holding [İstanbul(Avr.) - 25.04.2017] https://t.co/ev0xaERjrF
844431735974772736,Client Support Specialist/Kullanıcı Destek Uzmanı - Gözen Holding [İstanbul(Avr.) - 22.03.2017] https://t.co/7RNHVmBJJE
842710489289445376,Systems Support Specialist - Gözen Holding [İstanbul(Avr.) - 17.03.2017] https://t.co/7RNHVmBJJE
833994831588425728,Uçak Bileti Satış Personeli - Gözen Holding [Ankara - 21.02.2017] https://t.co/7B700HfHsJ
819744796537339904,K9 EĞİTİM MERKEZi YÖNETİCİSİ - Gozen Security Services - Türkiye: Gözen Holding iştiraklerinde görev yapmak üzere;… https://t.co/NrqxxwDVtX
806496053470068736,Yönetici / Yönetmen - Gözen Holding [İstanbul(Avr.) - 07.12.2016] https://t.co/HShza06leF
786930466070880256,Senior Software Developer - Gözen Holding [İstanbul(Avr.) - 14.10.2016] https://t.co/rwo9PAPiZ2
786925330825093120,PHP Developer - Gözen Holding [İstanbul(Avr.) - 14.10.2016] https://t.co/tggFJ0nNG2
786925321824206848,Front-End Developer - Gözen Holding [İstanbul(Avr.) - 14.10.2016] https://t.co/rYNq51cRvS
771612944761184256,"Gözen Holding #İstanbulAirshow'da...
Gözen Holding @ Istanbul Airshow...
IAS2016 https://t.co/TJeTW5Ngvr"
753185607426400256,I'm at Gözen Holding A.S. in Istanbul https://t.co/QhYA6VWdyA
742676663234899969,I'm at Gözen Holding A.S. in Istanbul https://t.co/p9GzZ08112
724565949718757376,"Gözen Holding Eleman Arıyor: Havacılık güvenliği sektöründe lider konumda olan Gözen Security Services, İstanb... https://t.co/UZcLR08C1l"
676415777310973952,I'm at Gözen Holding A.S. in Istanbul https://t.co/9niL7bUs6q
657532260107857920,Üst Düzey Yönetici Asistanı - Gözen Holding [İstanbul(Avr.) - 23.10.2015] https://t.co/69m1zcC6wA
652043843756535808,I'm at Gözen Holding A.S. in Istanbul https://t.co/gnOEpJY5tk
648424785488289792,Müşteri ilişkileri Sorumlusu - Gözen Holding [İstanbul(Avr.) - 28.09.2015] http://t.co/2uRpik4Z44
637236040709881857,Business Process Analyst - Gözen Holding [İstanbul(Avr.) - 28.08.2015] http://t.co/VURulLKF03
618301411860869120,I'm at Gözen Holding A.S. in Istanbul https://t.co/BnfKiYtq1d
613243799251324928,Üst Düzey Yönetici Asistanı - Gözen Holding [İstanbul(Avr.) - 23.06.2015] http://t.co/69m1zcC6wA
606904132813901824,#egs #business #park #gözen #holding :)) @ Gözen Holding https://t.co/pHzuP1vIZ8
606726506199584768,"Gözen Holding @kucukenes Bilal Gökhan (@ EGS Business Park in İstanbul, Türkiye) https://t.co/WOuSiFMmr8"
606451910053396480,Üst Düzey Yönetici Asistanı - Gözen Holding [İstanbul(Avr.) - 04.06.2015] http://t.co/69m1zcC6wA
606068732146941952,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 03.06.2015] // •  Üniversitelerin ön lisans... http://t.co/WbLTEQJiTi
606066683543994368,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 03.06.2015] // •  Üniversitelerin ön lisans... http://t.co/fyocvxQWrC
598015626175750144,Gözen Holding'den vefa örneği..  http://t.co/KlDpLMRbWw http://t.co/d091T0TgP7
593431131070005249,İstanbul Üniversitesi “Kariyer Şenlikleri’15” etkinliğine “Gözen Holding” olarak davetliyd...http://t.co/6RPYYLXJuK http://t.co/7te5tEUt7e
592964391894679552,I'm at Gözen Holding A.S. in Istanbul https://t.co/PytKpZRfcT
590076692674256897,Yönetici Asistanı - Gözen Holding [İstanbul(Avr.) - 20.04.2015] http://t.co/IUty5ahSFo
588339160500568064,I'm at Gözen Holding A.S. in Istanbul https://t.co/n5eQckIYzI
582436144132067328,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 30.03.2015] // •  Üniversitelerin ön lisans... http://t.co/glkysARfh2
582435576370073600,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 30.03.2015] // •  Üniversitelerin ön lisans... http://t.co/jplfS2DLCd
573417503524839425,I'm at Gözen Holding A.S. in Istanbul https://t.co/kCrvTaJdwp
563155888840929280,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 04.02.2015] // •  Üniversitelerin ön lisans... http://t.co/SNXscmbeN5
559982826083606528,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 27.01.2015] // •  Üniversitelerin ön lisans... http://t.co/2cYg0fFrXS
559981233246310400,İş ilanı: Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 27.01.2015] // •  Üniversitelerin ön lisans... http://t.co/DfebqkczDr
559979454039347200,Front End Yazılım Uzmanı - Gözen Holding [İstanbul(Avr.) - 27.01.2015] http://t.co/7mDEF96t94
546995086178131968,Freebird 9. uçağını alıyor: Gözen Holding’in havayolu kanadı olan Antalya merkezli Freebird Hava... http://t.co/hbwpYrXxU9 #enhizlihaber
